0, 0, -0.9259488409, 0.3403412506
0, 1, 0.4139254654, 2.4596633822
0, 2, -0.1449162298, 5.2014811802
0, 3, -0.2079339618, 2.8763218275
0, 4, -0.5123459829, 0.6541212475
0, 5, 0.8536902334, 2.2355561310
1, 0, 0.5997715949, 2.2256140984
1, 1, -0.3099741066, 5.4639597049
1, 2, -0.0857999108, 6.1436831502
1, 3, 0.5576193631, 4.1897889740
1, 4, 0.6707810116, 3.7779290810
1, 5, -0.5735816525, 3.8950333448
2, 0, -0.8061257767, 5.4015250043
2, 1, 0.7002980895, 2.8412372200
2, 2, -0.7933705010, 6.2794186186
2, 3, 0.6617407218, 3.8602694023
2, 4, -0.8338857164, 4.3308046159
2, 5, -0.4797377297, 4.2470636742
3, 0, 0.2697000219, 1.0132855989
3, 1, 0.0849943322, 3.7159856361
3, 2, 0.1886164808, 3.7059177240
3, 3, -0.1343439246, 1.1539823062
3, 4, -0.0686667065, 4.7498750951
3, 5, -0.1132343233, 3.8053530978
4, 0, -0.0646610772, 4.8539182493
4, 1, -0.2564667353, 4.8437760987
4, 2, 0.6103494181, 5.7523137110
4, 3, 0.2845199217, 4.7010436554
4, 4, 0.8201650576, 3.6891795521
4, 5, -0.9646157831, 5.1428019334
5, 0, 0.2952022279, 2.4489587622
5, 1, 0.2661424351, 2.9307075356
5, 2, -0.4790042244, 0.1801195686
5, 3, 0.4429358331, 2.3144946747
5, 4, -0.7168418400, 0.2460432096
5, 5, -0.6662188729, 4.7598151427
